Nutrient,RDI,DV,UL
Calories,2000,2000,N/A
Fat,N/A,78g,N/A
Saturated Fat,N/A,20g,N/A
Cholesterol,N/A,300mg,N/A
Carbs,130g,275g,N/A
Fiber,38g,28g,N/A
Sugar,N/A,50g,N/A
Protein,56g,50g,N/A
Vitamin A,900mcg (RAE),3000IU,3000mcg (RAE)
Vitamin B1,1.2mg,1.2mg,N/A
Vitamin B2,1.3mg,1.3mg,N/A
Vitamin B3,16mg,16mg,35mg
Vitamin B5,N/A,5mg,N/A
Vitamin B6,1.3mg,1.7mg,100mg
Vitamin B9,400mcg,400mcg,1000mcg
Vitamin B12,2.4mcg,2.4mcg,N/A
Vitamin C,90mg,90mg,2000mg
Vitamin D,N/A,20mcg,N/A
Vitamin E,15mg,15mg,1000mg
Vitamin K,N/A,120mcg,N/A
Choline,N/A,550mg,3500mg
Lycopene,N/A,N/A,N/A
Lutein+zeazanthin,N/A,N/A,N/A
Calcium,N/A,1300mg,2500mg
Copper,0.9mg,0.9mg,10mg
Iodine,150mcg,N/A,1100mcg
Iron,8mg,18mg,45mg
Magnesium,400mg,420mg,N/A
Manganese,N/A,2.3mg,11mg
Phosphorus,700mg,1250mg,4000mg
Potassium,N/A,4700mg,N/A
Selenium,55mcg,55mcg,400mcg
Sodium,1500mg,2300mg,N/A
Zinc,11mg,11mg,40mg
Ash,N/A,N/A,N/A
Water,N/A,N/A,N/A
Starch,N/A,N/A,N/A
Sucrose,N/A,N/A,N/A
Glucose,N/A,N/A,N/A
Fructose,N/A,N/A,N/A
Lactose,N/A,N/A,N/A
Maltose,N/A,N/A,N/A
Galactose,N/A,N/A,N/A
Omega 3s,1.6g,N/A,N/A
Omega 6s,17g,N/A,N/A
Tryptophan,280mg,N/A,N/A
Histidine,700mg,N/A,N/A
Threonine,1050mg,N/A,N/A
Isoleucine,1400mg,N/A,N/A
Lysine,2100mg,N/A,N/A
Leucine,2730mg,N/A,N/A
Methionine,728mg,N/A,N/A
Cystine,287mg,N/A,N/A
Phenylalanine,875mg,N/A,N/A
Tyrosine,875mg,N/A,N/A
Valine,1820mg,N/A,N/A
Arginine,N/A,N/A,N/A
Alanine,N/A,N/A,N/A
Aspartic Acid,N/A,N/A,N/A
Glutamic Acid,N/A,N/A,N/A
Glycine,N/A,N/A,N/A
Proline,N/A,N/A,N/A
Serine,N/A,N/A,N/A
Hydroxyproline,N/A,N/A,N/A
